name,color,speed
cmaccallum0,green,4482
bclinch1,purple,3251
sivory2,pink,7941
cwilleson3,purple,1970
mplumtree4,orange,8707
cmoorcraft5,green,971
evint6,pink,9131
sabrahamian7,pink,2686
mmelloi8,orange,5337
ajersh9,green,1432
rgurrya,pink,3075
tbakhrushkinb,orange,1295
gdixsonc,green,6762
tmacvanamyd,pink,6676
agoldiee,pink,9336
bessamef,pink,6141
charting,green,768
bwalkeyh,green,6757
nginglei,purple,9981
aaleevyj,orange,9186
bashnessk,orange,5714
wbartalotl,orange,7854
cjoburnm,pink,2745
eaubinn,purple,3814
eloftuso,green,7638
hbladderp,pink,5142
cdenialq,pink,7866
mcruickshankr,purple,1981
rleidens,purple,4778
bsyversent,green,2363
awicheru,green,6895
marguilev,purple,8731
arounsivallw,green,4065
pnelthorpex,pink,8515
chaimesy,purple,9524
mquinnettez,orange,7946
dbryceson10,orange,1281
rhandscomb11,orange,696
dwillans12,pink,3088
bding13,pink,6016
atremmel14,green,6483
sratray15,purple,1996
jblockey16,purple,6226
rjory17,green,6834
mjolley18,pink,6381
agarvin19,purple,2395
lbannester1a,orange,9331
rbroske1b,purple,2195
hsearjeant1c,green,1240
dhooke1d,purple,2856
